"","Symbol","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652879.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652880.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652881.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652882.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652883.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652884.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652885.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652886.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652887.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652888.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652889.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652890.tabular","D:/W/P/China/KYS/Kallisto quant on collection 766 and collection 805_ Abundances (tabular)/SRR9652891.tabular"
"53079","Tmed7",3744.25161,3781.796,3399.791,3926.62,3669.66,3410.58636,3638.754,4277.825,3384.021,3827.749,3550.06769,3817.848,3828.469
"53080","Tmed8",22,24,24,38,12,28,24,22,24,15,19,28,24
"53081","Tmed9",157.58909,209.0105,188.0065,385.03094,363.05214,301.43353,137.003,159.9997,216.04768,210.037,201.1317,225.331989,254.03978
"53082","Tmeff1",9,21,13,10,20,9.9999991705,4,4,15.000002,11.999979,7.000002,13,15
"53083","Tmeff2",1,0,1,0,1.13704,1,0,0,0,0,1.06716,1,2
"53084","Tmem100",0,0,0,0,0,0,0,1,0,0,0,0,0
"53085","Tmem101",86.99998,131.9996,108,121.99978,125.00005,130.99981,98.99999,81.00005,58,90.00003,99,100.00004,104.00002
"53086","Tmem102",605,783,599,729,886,780,569,857,640,906,811,604,752
"53087","Tmem104",331.9995,439.9998,425,357.0001,296.000300358558,301.9999,347.9996,376,329.0001,407,329.9999,373.0004,373.0001
"53088","Tmem106a",2810.2186,2910.3457,3151.379,2675.9961,3107.8685,3405.5754,3074.1394,2811.4619,2356.05829,3011.3027,2991.9127,2916.7105,2841.1597
"53089","Tmem106b",893.99977,944.99973,888.9999,858.99975,684.04397245162,739.9997,927.00022,807.00025,792.00021,817.99994,794.000394658,920.0004,978.999757
"53090","Tmem106c",65,65.00001,56.99998,76,54.99998,77.00003,61,60,64.00004,55.000002127,40.00003,58.99997,55.99999
"53091","Tmem107",2.000003,3.000003,11,18.99998,15,10,2,1,13,6,3.9999956,9,8
"53092","Tmem108",4,2,5,2,0,5,3,3,1,4,3.000002,5,4
"53093","Tmem109",67,103,103.00001,139,66,113.99981,49,69,95,48,42.00003,84.99997,102.99998
"53094","Tmem11",250.93383,422.8973,307.947,381.9995,321.9626,450.9216,258.9084,293.93794,305.0003393,299.00035,362.9766,310.7657,314.0002
"53095","Tmem114",0,0,0,0,0,0,0,0,0,0,0,0,0
"53096","Tmem115",805,775,808,759,815,757,744,749,670,701,700,823,692
"53097","Tmem116",27.04065,27.7242628768,30.04488,30.57821,31.26548,18,29.576241,24.66706,24.823713,11.82595,16.615868,16.274417,34.55372
"53098","Tmem117",298.45728,211.74347,267.43815,167.22011,166.46297,357.3072,324.56033,194.23885,158.68346,120.12283,147.24633,320.41657,251.45772
"53099","Tmem119",0,0,0,0,0,1,0,0,0,0,0,0,0
